Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Nov 2,High Point University,University of Maryland,2,1,Win,-2.5,-2.32,-0.18,1.001,67.5,4.5,3.32,1.999,M2
Nov 2,Utah State University ,University of Providence,0,6,Loss,-4.89,0.96,-5.85,-1.442,48,4.89,5.04,1.442,M2
Nov 2,Texas Christian University,University of Denver,7,5,Win,2.76,0.11,2.66,1.764,40.8,4.24,4.89,1.236,M2
Nov 2,Weber State University,Montana State University,3,4,Loss,-1.13,-2.25,1.12,-0.74,23.7,4.13,6.25,0.74,M2
Nov 2,San Jose State University,Eastern Washington University,4,3,Win,0.79,0.17,0.63,1.316,56.5,3.21,2.83,1.684,M2
Nov 2,Utah Valley University,University of Montana,3,1,Win,-0.08,-6.39,6.31,2.771,6.9,3.08,7.39,0.229,M2
Nov 2,University of California Santa Barbara,Northern Arizona University,1,4,Loss,-1.17,-1.4,0.23,-0.335,10.2,2.17,5.4,0.335,M2
Nov 2,University of Southern California,University of Washington,3,7,Loss,1.17,2.7,-1.53,-0.457,13.9,1.83,4.3,0.457,M2
Nov 2,Western Washington University,University of California Berkeley,0,10,Loss,-1.12,1.33,-2.45,-0.007,0.2,1.12,8.67,0.007,M2
Nov 2,California State University Fullerton,California State University Northridge,2,6,Loss,-0.15,-1.37,1.22,-0.101,2.9,2.15,7.37,0.101,M2
Nov 3,University of North Carolina Wilmington,Rowan University,2,4,Loss,-1.39,0.03,-1.42,-1.241,40.9,3.39,3.97,1.241,M2
Nov 3,University of Wisconsin Milwaukee,Milwaukee School of Engineering,2,6,Loss,-0.23,1.97,-2.21,-0.697,21.9,2.23,4.03,0.697,M2
Nov 3,Penn State University,Virginia Tech,4,3,OT Win,0.23,-0.02,0.25,0.626,45.5,2.77,3.02,1.374,M2
Nov 3,West Virginia University,High Point University,2,5,Loss,-1.42,0.39,-1.81,-1.002,32.6,3.42,4.61,1.002,M2
Nov 3,Boston College,Bentley University,0,3,Loss,-3.59,-3.6,0.01,-0.485,15.2,3.59,6.6,0.485,M2
Nov 3,Stockton University,The College of New Jersey,3,4,OT Loss,-3.01,0.37,-3.38,-1.652,89.4,6.01,2.63,2.652,M2
Nov 3,Connecticut College,Westfield State University,5,3,Win,0.46,0.97,-0.5,0.473,85.5,4.54,2.03,2.527,M2
Nov 3,University of California Santa Barbara,Grand Canyon University,2,11,Loss,-0.32,3.27,-3.59,-0.093,2.7,2.32,7.73,0.093,M2
Nov 3,North Dakota State University,Dakota College Bottineau,0,4,Loss,-4.83,0.49,-5.32,-2.04,68.8,4.83,3.51,2.04,M2
Nov 3,University of Saint Thomas,Gustavus Adolphus College,12,3,Win,1.58,0.97,0.6,0.003,99.9,10.42,2.03,2.997,M2
Nov 3,Rider University,University of North Carolina Chapel Hill,4,2,Win,0.8,-2.38,3.17,2.004,32.4,3.2,4.38,0.996,M2
Nov 3,Army (West Point),Rensselaer Polytechnic Institute,4,2,Win,0.34,-1.81,2.15,1.567,47.6,3.66,3.81,1.433,M2
Nov 3,University of Massachusetts Amherst,University of New Hampshire,5,2,Win,1.86,-2.53,4.39,2.087,29.5,3.14,4.53,0.913,M2
Nov 3,Bridgewater State University,Bryant University,6,4,Win,2.47,0.06,2.41,1.68,43.7,3.53,3.94,1.32,M2
Nov 3,University of Maryland,North Carolina State University,2,3,Loss,-0.1,-3.14,3.04,-0.209,6.2,2.1,6.14,0.209,M2
Nov 3,Saint Anselm College,Sacred Heart University,1,4,Loss,-2.33,-0.79,-1.54,-0.901,29.1,3.33,4.79,0.901,M2
Nov 3,Providence College,University of Connecticut,6,7,OT Loss,1.79,1.19,0.59,-0.261,41.6,4.21,4.81,1.261,M2
Nov 7,Indiana Tech,Adrian College,3,4,OT Loss,1.55,-2.77,4.31,0.867,3.8,1.45,5.77,0.133,M2
Nov 7,University of Nevada Reno,Idaho State University,6,4,Win,3.33,2.17,1.16,1.032,66.7,2.67,1.83,1.968,M2
Nov 7,University of Utah,Utah Valley University,4,0,Win,-5.42,-4.04,-1.38,0.121,96.4,9.42,4.04,2.879,M2
Nov 7,Indiana University,Miami University,5,4,Win,2.64,0.17,2.47,2.181,26.1,2.36,3.83,0.819,M2
Nov 7,Grand Canyon University,Loyola Marymount University,2,3,Loss,-2.82,-1.49,-1.33,-1.632,54.6,4.82,4.49,1.632,M2
Nov 8,University of North Texas,Baylor University,8,3,Win,2.07,-0.28,2.35,0.55,82.7,5.93,3.28,2.45,M2
Nov 8,University of Idaho,Western Washington University,1,7,Loss,-1,3.56,-4.57,-0.797,25.3,2,3.44,0.797,M2
Nov 8,Sacred Heart University,University of Massachusetts Amherst,4,3,Win,0.22,0.11,0.1,1.086,64.6,3.78,2.89,1.914,M2
Nov 8,University of California San Diego,Washington State University,1,13,Loss,-0.85,9.64,-10.5,-0.753,23.7,1.85,3.36,0.753,M2
Nov 8,Grand Canyon University,California State University Fullerton,11,1,Win,0.85,-0.5,1.35,0.002,100,10.15,1.5,2.998,M2
Nov 8,Marist College,Rensselaer Polytechnic Institute,1,5,Loss,-1.21,-1.74,0.54,-0.161,4.7,2.21,6.74,0.161,M2
Nov 8,University of Louisville,Ohio University,1,2,Loss,-1.98,-1.12,-0.86,-1.429,47.5,2.98,3.12,1.429,M2
Nov 8,Westfield State University,Roger Williams University,2,6,Loss,0.02,1.22,-1.2,-0.399,12.1,1.98,4.78,0.399,M2
Nov 8,Saint Cloud State University,University of Minnesota Duluth,6,5,Win,2.75,1.47,1.28,1.631,45.4,3.25,3.53,1.369,M2
Nov 8,West Chester University,University of Pennsylvania,6,1,Win,0.05,-1.87,1.92,0.423,86.9,5.95,2.87,2.577,M2
