Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Feb 10,North Dakota State University,Lake Region State College,3,4,Loss,-3.79,-2.21,-1.58,-1.707,57.2,6.79,6.21,1.707,W2
Feb 10,The Ohio State University,Mercyhurst University,2,3,Loss,-5.88,-3.09,-2.79,-2.117,71.3,7.88,6.09,2.117,W2
Feb 10,University of Delaware,University of Pittsburgh,8,2,Win,-1.41,-1.45,0.04,0.073,97.9,9.41,3.45,2.927,W2
Feb 10,Robert Morris University,Niagara University,3,10,Loss,-0.82,0.2,-1.03,-0.071,2.1,3.82,9.8,0.071,W2
Feb 10,Saint Anselm College,University Of Connecticut,6,4,Win,-1.88,-0.48,-1.4,0.434,86.4,7.88,4.48,2.566,W2
Feb 10,Providence College,Boston University,9,3,Win,0.55,-0.03,0.58,0.111,96.7,8.45,3.03,2.889,W2
Feb 10,Central Michigan University,Adrian College,1,3,Loss,-4.87,-3.09,-1.78,-1.421,47.3,5.87,6.09,1.421,W2
Feb 10,Brockport State University,Rochester Institute Of Technology,9,2,Win,-1.81,-0.42,-1.39,0.002,99.9,10.81,2.42,2.998,W2
Feb 10,College of the Holy Cross,Sacred Heart University,10,7,Win,7.09,0.43,6.66,2.681,9.7,2.91,6.57,0.319,W2
Feb 10,University of Notre Dame,Miami University,5,3,Win,-0.38,-1.48,1.1,1.151,62.2,5.38,4.48,1.849,W2
Feb 10,Boston College,Assumption University,5,2,Win,-0.36,-3.38,3.02,1.507,49.8,5.36,5.38,1.493,W2
Feb 10,University of Minnesota Duluth,University of Wisconsin Eau Claire,2,3,Loss,-3.44,-3.89,0.45,-0.986,32.2,5.44,6.89,0.986,W2
Feb 10,George Washington University,University of Virginia,3,8,Loss,1,-2.54,3.54,-0.002,0.1,2,10.54,0.002,W2
Feb 10,Loyola University Chicago,Northern Michigan University,1,11,Loss,-0.86,0.76,-1.62,-0.003,0.1,1.86,10.24,0.003,W2
Feb 10,University of Wisconsin Stout,University of Nebraska,3,11,Loss,0.46,4.8,-4.35,-0.295,8.9,2.54,6.2,0.295,W2
Feb 11,University of Wisconsin Stout,University of Nebraska,3,9,Loss,0.46,2.8,-2.35,-0.295,8.9,2.54,6.2,0.295,W2
Feb 11,University of Notre Dame,Miami University,4,3,Win,-1.38,-1.48,0.1,1.151,62.2,5.38,4.48,1.849,W2
